HigherTaxonomy,MeanBF,SeBF,n()
Acrodonta,3.24,0.207,18
Anguimorpha,3.224,0.409,5
Gekkota,2.536,0.835,2
Lacertoidea,2.901,0.249,38
Pleurodonta,2.364,0.109,74
Rhynchocephalia,5.393,NA,1
Scincoidea,1.699,0.37,26
