Sex,HigherTaxonomy,MeanBF,SeBF,n()
Female,Acrodonta,3.066,0.216,15
Female,Anguimorpha,2.963,0.133,3
Female,Gekkota,1.172,NA,1
Female,Lacertoidea,2.503,0.299,27
Female,Pleurodonta,1.813,0.101,62
Female,Rhynchocephalia,4.969,NA,1
Female,Scincoidea,2.023,1.707,3
Male,Acrodonta,3.156,0.209,18
Male,Anguimorpha,3.481,0.41,4
Male,Gekkota,2.536,0.835,2
Male,Lacertoidea,2.826,0.246,36
Male,Pleurodonta,2.27,0.116,64
Male,Rhynchocephalia,5.393,NA,1
Male,Scincoidea,3.473,0.782,7
