Sex,Family,HigherTaxonomy,MeanBF,SeBF,n()
Female,Agamidae,Acrodonta,4.527,0.243,2
Female,Chamaeleonidae,Acrodonta,2.841,0.175,13
Female,Cordylidae,Scincoidea,3.728,0.132,2
Female,Crotaphytidae,Pleurodonta,3.148,NA,1
Female,Dactyloidae,Pleurodonta,1.699,0.137,40
Female,Iguanidae,Pleurodonta,3.348,NA,1
Female,Lacertidae,Lacertoidea,2.314,0.292,24
Female,Liolaemidae,Pleurodonta,1.904,0.116,19
Female,Phrynosomatidae,Pleurodonta,1.792,NA,1
Female,Phyllodactylidae,Gekkota,1.172,NA,1
Female,Scincidae,Scincoidea,-1.386,NA,1
Female,Sphenodontidae,Rhynchocephalia,4.969,NA,1
Female,Teiidae,Lacertoidea,5.123,0.623,2
Female,Trogonophidae,Lacertoidea,1.807,NA,1
Female,Xenosauridae,Anguimorpha,2.963,0.133,3
Male,Agamidae,Acrodonta,4.057,0.461,5
Male,Chamaeleonidae,Acrodonta,2.809,0.149,13
Male,Cordylidae,Scincoidea,3.706,0.371,3
Male,Crotaphytidae,Pleurodonta,4.257,NA,1
Male,Dactyloidae,Pleurodonta,2.194,0.162,39
Male,Gekkonidae,Gekkota,3.371,NA,1
Male,Iguanidae,Pleurodonta,3.858,0.804,2
Male,Lacertidae,Lacertoidea,2.735,0.25,31
Male,Liolaemidae,Pleurodonta,2.219,0.114,19
Male,Phrynosomatidae,Pleurodonta,1.858,0.037,3
Male,Phyllodactylidae,Gekkota,1.701,NA,1
Male,Scincidae,Scincoidea,3.297,1.431,4
Male,Sphenodontidae,Rhynchocephalia,5.393,NA,1
Male,Teiidae,Lacertoidea,3.77,1.043,4
Male,Trogonophidae,Lacertoidea,1.862,NA,1
Male,Varanidae,Anguimorpha,4.679,NA,1
Male,Xenosauridae,Anguimorpha,3.082,0.132,3
