dataset,sex,tree,morph,lambda,residual_df,df_morph,F_morph,p_morph,adj.r2
mean,all,full,SVL,0.9503562250995882,159,1,410.7477338671543,6.3808488367289946e-46,0.7191739598260403
mean,female,full,SVL,0.9362729572830023,110,1,241.17267033642173,1.710252885192013e-29,0.6839161774927914
mean,male,full,SVL,0.9363885462370191,130,1,384.1271183670982,1.2389650654770375e-40,0.74519920206492
mean,all,full,HW,0.983981026877188,140,1,400.5116012572243,6.679499310141843e-43,0.739136033949992
mean,female,full,HW,0.969841242020966,94,1,200.88207585415614,4.560557188000319e-25,0.6778373194612701
mean,male,full,HW,0.8536288567797503,113,1,425.06573173258937,4.279243791335706e-40,0.7881299750628679
mean,all,full,HH,0.7146299903633342,134,1,621.5997687558298,3.5461080429318416e-52,0.821333984495137
mean,female,full,HH,0.9483180478730895,94,1,288.9234394189547,2.0168484523643342e-30,0.7519086318033904
mean,male,full,HH,0.7437568163483959,112,1,552.1549299776933,4.21521081750713e-45,0.8298589758209047
mean,all,full,HL,0.9642823661193423,134,1,328.75526881483233,7.046997935606066e-38,0.7082691238810743
mean,female,full,HL,0.9827846243798011,95,1,152.28997817186888,1.9011409022212685e-21,0.6117917890983876
mean,male,full,HL,0.9730590169973109,114,1,288.8063243729426,4.970531800088992e-33,0.7145029930227064
