dataset,sex,tree,morph,lambda,residual_df,df_morph,F_morph,p_morph,adj.r2
mean,all,basic,SVL,0.9583200452275851,154,1,403.17065938638854,7.49321922594747e-45,0.7218087539449738
mean,female,basic,SVL,0.9705609103832832,105,1,239.29569869750017,7.78172099900219e-29,0.692125111057132
mean,male,basic,SVL,0.964788897532043,126,1,377.58315776824,1.011943509602037e-39,0.7478072925178165
mean,all,basic,HW,0.9846894234195572,137,1,389.40835005968887,7.110541915035053e-42,0.7378461037246992
mean,female,basic,HW,0.9961585799422199,91,1,195.48119438649218,2.1907045620812563e-24,0.6788619923306984
mean,male,basic,HW,0.8345365766596516,111,1,422.0941708284523,1.2758503498288947e-39,0.7899057875160275
mean,all,basic,HH,0.6723458948870075,131,1,617.5266911836411,2.0149008345633435e-51,0.8236535830255176
mean,female,basic,HH,0.9338163848381407,91,1,286.7056731554703,7.169907526804398e-30,0.7564240980777347
mean,male,basic,HH,0.7001753089186498,110,1,552.3346660646757,1.0870795247736264e-44,0.8324110065693571
mean,all,basic,HL,0.9533851768686297,131,1,322.8533663397081,3.7018276000466055e-37,0.7091571644283049
mean,female,basic,HL,0.9866190785169522,92,1,149.30802681479906,5.704877884792173e-21,0.6146004704958432
mean,male,basic,HL,0.9389537947645172,112,1,294.0863850332698,4.15500438959527e-33,0.7217340837695354
