dataset,sex,tree,morph,covariate,lambda,residual_df,df_morph,F_morph,p_morph,df_covariate,F_covariate,p_covariate,df_morphxcovariate,F_morphxcovariate,p_morphxcovariate,adj.r2,bonf_p_morph,bonf_p_covariate,bonf_p_morphxcovariate
mean,all,basic,SVL,diet,0.9622960713391127,147,1,386.97012367064224,5.1486083959921055e-43,2,0.7296939663328232,0.4837942184008686,2,1.1918600998815643,0.3065728586691905,0.7173740045584128,2.5228181140361317e-41,1,1
mean,female,basic,SVL,diet,0.9837972798565736,100,1,234.1107307457757,6.050164997376621e-28,2,0.4318197767992092,0.6505313681239681,2,2.4467551680914417,0.0917421721407608,0.6910564193249191,8.470230996327269e-27,1,1
mean,male,basic,SVL,diet,0.9822934049310944,121,1,381.11435815475915,3.3757082904638886e-39,2,0.5006462162542153,0.6073888315998446,2,4.761124376835001,0.010223504083220593,0.7542124759757535,1.2490120674716388e-37,1,0.6440807572428974
mean,all,basic,HW,diet,0.994711284634751,130,1,386.5572628345398,9.111777540849456e-41,2,0.12358450968199179,0.8838506551422652,2,2.5164672499471283,0.0846714558794102,0.7412987097047551,4.0091821179737605e-39,1,1
mean,female,basic,HW,diet,0.998716761000939,86,1,181.97431426862863,6.174396191549683e-23,2,0.1733881525023069,0.8411043784729486,2,0.18533363485813908,0.831157994054873,0.6613219522235807,4.322077334084779e-22,1,1
mean,male,basic,HW,diet,0.9177737512911023,106,1,394.76530216065373,1.5828287687937174e-37,2,0.05628920983723067,0.9452939518397655,2,3.3294097014942463,0.039596379945649,0.7812966037655037,5.381617813898639e-36,1,1
mean,all,basic,SVL,arboreal,0.9697818880810761,152,1,412.81078102705834,3.5713628295923877e-45,1,1.0054141777833152,0.3175975498076252,1,5.724919385004342,0.017946723587852025,0.7288034123122842,2.035676812867661e-43,1,1
mean,female,basic,SVL,arboreal,0.9758866375522152,103,1,244.19811507541033,6.173624480552878e-29,1,2.757451109512048,0.09984370776675264,1,1.5858979255549475,0.21075954697210408,0.6984708467656382,1.111252406499518e-27,1,1
mean,male,basic,SVL,arboreal,0.9763586729286214,124,1,386.1704629743912,6.722286774564331e-40,1,2.981991759192077,0.08668584441457211,1,3.026845193822682,0.08437831976837652,0.7539614625811981,2.6889147098257324e-38,1,1
mean,all,basic,HW,arboreal,0.9852544984469062,135,1,386.6473186662686,1.8814089318919188e-41,1,0.9172454668952053,0.33991127776832986,1,0.11932375191334971,0.7303067570741313,0.7359780869496744,8.466340193513635e-40,1,1
mean,female,basic,HW,arboreal,0.9919596843899282,89,1,198.23048257970365,2.296330889332793e-24,1,2.616491393916333,0.10929701897778907,1,0.23738696901436682,0.6272976908781811,0.682850879306129,1.8370647114662343e-23,1,1
mean,male,basic,HW,arboreal,0.8619942859355874,109,1,417.1730705313212,4.67578953321481e-39,1,2.4879154686419724,0.11762148966865017,1,0.14351931224935946,0.7055440303880516,0.7882015019257941,1.6365263366251835e-37,1,1
mean,all,basic,SVL,fossorial,0.96585649032154,152,1,437.9453537591908,1.2955181655664234e-46,1,6.950350597431892,0.009250084186246559,1,8.971875617692037,0.003202100773839595,0.744168519453424,7.514005360285255e-45,0.5550050511747935,0.20493444952573409
mean,all,basic,HW,fossorial,0.9606702688853913,135,1,441.6006481927843,2.1447968175248527e-44,1,16.71024306355361,7.436138205914395e-5,1,3.3471032939391017,0.06952979799716331,0.7687117221918468,1.1581902814634205e-42,0.004684767069726069,1
mean,all,basic,SVL,taxonomy,0.9306095186812299,141,1,378.61195724977915,9.093840649282457e-42,3,1.0219908174027101,0.38491841277093647,3,1.3566905328621497,0.25860736881957147,0.7190307326566427,4.226827753960109e-40,1,1
mean,female,basic,SVL,taxonomy,0.9364814880464343,94,1,210.41131736895937,1.015711023035623e-25,2,0.7552787799214864,0.4727094049480965,2,0.10518916151346029,0.90026003767657925,0.6766103572936465,1.2188532276427476e-24,1,1
mean,male,basic,SVL,taxonomy,0.9384765892682789,109,1,299.4597297387342,4.789978016475838e-33,2,0.9938123229496038,0.3734915629134818,2,2.058812857033647,0.13253904229256883,0.725012952196641,1.1974945041189595e-31,1,1
mean,all,basic,HW,taxonomy,0.9832290368210954,125,1,369.2925791924828,3.9595275309850535e-39,3,0.08478619169365906,0.9682369225355224,3,1.5645119010591912,0.2013334702410314,0.7355983598798985,1.4254299111546193e-37,1,1
mean,female,basic,HW,taxonomy,0.9875105046829977,80,1,171.75975177211419,1.299523451165843e-21,2,0.1847822411840935,0.8316390677174131,2,2.4281186800040175,0.09467790806301499,0.669242107953234,7.797140706995059e-21,1,1
