dataset,sex,tree,morph,covariate,lambda,residual_df,df_morph,F_morph,p_morph,df_covariate,F_covariate,p_covariate,df_morphxcovariate,F_morphxcovariate,p_morphxcovariate,adj.r2,bonf_p_morph,bonf_p_covariate,bonf_p_morphxcovariate
mean,male,basic,HW,taxonomy,0.679148371180909,95,1,333.70844208492247,7.57254378028137e-33,2,0.2920008569737763,0.7474357001280164,2,2.7847220406637647,0.06679345380472844,0.770041931042829,1.817410507267529e-31,1,1
mean,all,basic,HH,diet,0.6022057434190974,124,1,617.9187629478583,5.289658443485359e-50,2,1.1262621306351404,0.32753682648303617,2,0.4671605892823741,0.6278780065918819,0.826870179813653,3.173795066091215e-48,1,1
mean,female,basic,HH,diet,0.9410762886393088,86,1,265.63009991539803,4.948602036879838e-28,2,0.18158576461282924,0.8342656275206171,2,0.21596894233469796,0.8061959951361957,0.7417891864966647,7.422903055319756e-27,1,1
mean,male,basic,HH,diet,0.7278993572097953,105,1,538.8922604940115,3.783769007660702e-43,2,0.5109590340926825,0.6014038646177676,2,2.1340193319292537,0.12346616224664755,0.830556048700736,1.891884503830351e-41,1,1
mean,all,basic,HL,diet,0.9669532484981619,124,1,309.3672679283319,1.7109585798468268e-35,2,1.4765143535104002,0.23242046839026795,2,0.2540826451180174,0.7760305164888482,0.704689572123223,5.13287573954048e-34,1,1
mean,female,basic,HL,diet,0.9855293082183377,87,1,138.03261040615004,1.2035112314776196e-19,2,0.12066411952080118,0.8864796811855278,2,0.07527652985200058,0.9275473152370901,0.5918810804265329,2.4070224629552393e-19,1,1
mean,male,basic,HL,diet,0.9386442871215072,107,1,283.23317020733555,7.77175718456811e-32,2,0.939845653561787,0.393889113917484,2,0.6166691954387067,0.5416462072550252,0.7152635514797038,1.7097865806049843e-30,1,1
mean,all,basic,HH,arboreal,0.6807898111505662,129,1,623.4595079321317,3.060778084501774e-51,1,3.4256622953672458,0.06647778539251666,1,0.31395521264129217,0.5762349861529589,0.8254428026174054,1.9282901932361176e-49,1,1
mean,female,basic,HH,arboreal,0.9231791966385848,89,1,293.59984609466176,6.277642754304609e-30,1,2.9347519536719306,0.09017357692861341,1,0.19700201905970557,0.6582289363529159,0.7614921878738321,1.318304978403968e-28,1,1
mean,male,basic,HH,arboreal,0.7372925700344214,108,1,555.6249055295468,2.203370374603096e-44,1,4.422429045311137,0.03779266724892164,1,0.0157169101067293,0.9004660014483419,0.8338480181574626,1.167786298539641e-42,1,1
mean,all,basic,HL,arboreal,0.9547444249892957,129,1,328.50659215889465,2.8434437273992007e-37,1,4.308159542541886,0.03991639767914139,1,0.15387064401652245,0.6955108776896821,0.714266308110224,9.383364300417363e-36,1,1
mean,female,basic,HL,arboreal,0.9761443304221064,90,1,159.13229985610926,1.3178883459962755e-21,1,6.455293635616052,0.01277533897629411,1,0.03655328519649875,0.8488080686819708,0.6361846047307914,7.797140706995059e-21,0.75374499960135255,1
mean,male,basic,HL,arboreal,0.9493799014905878,110,1,307.49735145267806,1.2187910235101177e-33,1,8.431846742712247,0.004456704108209435,1,0.07849232246859919,0.7798772531718077,0.7347465726202357,3.290735763477318e-32,0.27185895060077553,1
mean,all,basic,HH,fossorial,1e-6,129,1,900.3618483247701,4.975093774767807e-60,1,25.263721069931826,1.6336496346812135e-6,1,0.027442301781809036,0.8686860823856826,0.8748403517213034,3.1840600158513964e-58,1.0455357661959766e-4,1
mean,all,basic,HL,fossorial,0.8580349089708149,129,1,383.62679838957473,1.8134015234413445e-40,1,16.09070824338725,1.0166972074011994e-4,1,1.308680099782475,0.2547520977999828,0.7509557012386664,7.79762655079778e-39,0.006303522685887436,1
mean,all,basic,HH,taxonomy,0.6112390785148314,119,1,572.4648835079993,2.705474134941121e-47,3,0.4598813583323619,0.7108300077925509,3,1.2492256152800736,0.29509708609453533,0.8191194228145112,1.5962297396152614e-45,1,1
mean,female,basic,HH,taxonomy,0.8952963568881543,80,1,240.112338567152,8.34136849039327e-26,2,0.19968152787765703,0.8193984778568975,2,1.2582858462812039,0.2897026288556099,0.7368651383744701,1.084377903751125e-24,1,1
mean,male,basic,HH,taxonomy,0.7997335834514803,94,1,358.0222215366794,8.09403879344459e-34,2,0.0811973532007691,0.922076307835562,2,1.245708266433004,0.2924428866108213,0.7822625498960823,2.2663308621644852e-32,1,1
mean,all,basic,HL,taxonomy,0.9586155072034613,120,1,315.8456112053622,2.093849259537348e-35,3,0.23820985030630332,0.8695600366218048,3,3.3854887370749687,0.020441236355746142,0.7157034916779195,6.072162852658309e-34,1,1
mean,female,basic,HL,taxonomy,0.9808077513148707,81,1,123.19799229680338,6.155503048587394e-18,2,0.328549134024075,0.7209224912956609,2,0.7344044398950452,0.4829581783581305,0.583179649902485,6.155503048587394e-18,1,1
mean,male,basic,HL,taxonomy,0.9775715540753487,96,1,206.5284278409201,1.1555057609097935e-25,2,0.379274677163156,0.6853784620435504,2,2.2842003011450336,0.10736558760303185,0.6719238730777559,1.2710563370007729e-24,1,1
mean,all,basic,SVL,acrodont,0.9505453108084496,152,1,405.8856240846414,9.141229421648278e-45,1,0.7067976641064324,0.4018295276522186,1,1.9601434103711388,0.16353579031033819,0.7234871274632353,5.1190884761230355e-43,1,1
mean,female,basic,SVL,acrodont,0.9627446413792049,103,1,237.4371992103978,1.706656465226534e-28,1,0.7885032755142448,0.376622009411569,1,0.13933856230750194,0.7097066049879981,0.689481970167452,2.7306503443624545e-27,1,1
mean,male,basic,SVL,acrodont,0.9412610004606868,124,1,390.41802607910876,4.015135104197999e-40,1,1.1799226807058796,0.2794788565166807,1,3.5544572051855208,0.06172577904652386,0.7553704874699897,1.6863567437631596e-38,1,1
mean,all,basic,HW,acrodont,0.9817317089374328,135,1,392.36850125391817,8.993250540340657e-42,1,0.0573659185730775,0.8110719820890914,1,2.9458278373290185,0.08839326707150175,0.7398051191298118,4.226827753960109e-40,1,1
mean,female,basic,HW,acrodont,0.9904239205675197,89,1,203.6322354130592,9.982054358964915e-25,1,0.36219995976511704,0.5488170434256161,1,4.8460266895405795,0.03029668338851436,0.6911097996459054,9.982054358964915e-24,1,1
mean,male,basic,HW,acrodont,0.79919597174599,109,1,438.8211331524797,5.168568771776978e-40,1,0.031074989803074944,0.8604002951457639,1,4.256122967513921,0.04148522501315953,0.7971412607107956,2.119113196428561e-38,1,1
mean,all,basic,HH,acrodont,0.6622894865807438,129,1,618.0784152957502,4.866231395203663e-51,1,0.3464684620070661,0.5571483191802239,1,1.2160692746288062,0.2721864761554168,0.8236804980206717,3.017063465026271e-49,1,1
mean,female,basic,HH,acrodont,0.9212233209679986,89,1,293.49230716433755,6.356929798928006e-30,1,0.12635808520324257,0.7230794947676389,1,2.790972269646604,0.0983099158228368,0.7612929438085995,1.318304978403968e-28,1,1
mean,male,basic,HH,acrodont,0.6905675574477043,108,1,552.8289217334724,2.768717079796579e-44,1,0.16727176855792736,0.6833578495404645,1,1.5060799153084239,0.222406634680056,0.8324534051371076,1.4120457106962554e-42,1,1
mean,all,basic,HL,acrodont,0.9478380724836655,129,1,324.65065625507617,4.91637852587745e-37,1,0.7785020095829841,0.3792408498613883,1,1.3011676672819639,0.256113338518888,0.7103550225013708,1.573241128280784e-35,1,1
mean,female,basic,HL,acrodont,0.9823597505589775,90,1,151.25069166525682,5.650143699754764e-21,1,0.9633464962597293,0.32897629999945877,1,1.583395843351442,0.21152685133738805,0.61853577179921,2.2600574799019055e-20,1,1
mean,male,basic,HL,acrodont,0.910175387597541,110,1,301.5411122262093,2.693126924430976e-33,1,1.1081548596181148,0.29479033291703666,1,0.5525762985631227,0.4588516688710452,0.726525905415966,7.002130003520538e-32,1,1
mean,all,basic,SVL,saxicolous,0.958384260029487,152,1,399.95793471488304,2.0627311239865812e-44,1,0.19142008540395675,0.6623583339477191,1,0.5852936955239003,0.44543100528187574,0.7195761104866313,1.1345021181926196e-42,1,1
mean,female,basic,SVL,saxicolous,0.9719134863248567,103,1,238.2738797718482,1.5032124547073508e-28,1,0.9801521865131689,0.32448130505474526,1,0.6179111159838712,0.4336292846453129,0.6908466786475559,2.5554611730024964e-27,1,1
mean,male,basic,SVL,saxicolous,0.9641729164565541,124,1,373.78738505413895,3.096354202883159e-39,1,0.35726552238868947,0.551118864061274,1,0.32725699741556,0.5683143931718707,0.745221349347233,1.1766145970956005e-37,1,1
mean,all,basic,HW,saxicolous,0.9851230992153098,135,1,396.1842273119952,5.521404998815458e-42,1,3.494779994539843,0.06372886993482839,1,0.8952993071400569,0.34573579814434385,0.7423326729907092,2.65027439943142e-40,1,1
mean,female,basic,HW,saxicolous,1,89,1,201.70220276256023,1.3418915865057543e-24,1,5.326075303804311,0.023327412619742555,1,0.026533106634229357,0.8709744424260539,0.6892467322672893,1.2077024278551789e-23,1,1
mean,male,basic,HW,saxicolous,0.8223393167508858,109,1,423.87537005445915,2.341910832668468e-39,1,1.484345395127528,0.22572637731827402,1,0.22852082475648838,0.6335801315383172,0.7904929581306328,9.133452247407025e-38,1,1
mean,all,basic,HH,saxicolous,0.6800733380742024,129,1,606.6196541284448,1.320890097027492e-50,1,0.04942482940968272,0.82441874649525,1,0.0647273548357113,0.7995795220451892,0.8205872846029052,8.057429591867701e-49,1,1
mean,female,basic,HH,saxicolous,0.95816938491039,89,1,281.1471648512732,2.750683486547816e-29,1,3.169013770682528,0.07846054585272631,1,0.019203839458705296,0.8900967682984751,0.7535727811453592,5.226298624440851e-28,1,1
mean,male,basic,HH,saxicolous,0.6680629288640512,108,1,554.1176585547299,2.4917637350610537e-44,1,0.10021048982165637,0.7521882374820313,1,0.8768253675647284,0.3511618351937136,0.8326030943462609,1.295717142231748e-42,1,1
mean,all,basic,HL,saxicolous,0.9537095530018553,129,1,321.6542420827652,7.548207659271036e-37,1,1.413568076172801,0.2366489542781336,1,0.13891386619228732,0.7099748389860474,0.7080981042805892,2.3399443743740212e-35,1,1
mean,female,basic,HL,saxicolous,0.9943551268895567,90,1,150.6587555527825,6.3150582343397504e-21,1,4.273686760434086,0.04157854950677976,1,0.006777708883752552,0.9345696312094718,0.62031397016938,2.2600574799019055e-20,1,1
mean,male,basic,HL,saxicolous,0.9409256429108862,110,1,289.6355539738315,1.3607342964241384e-32,1,0.16492513856744076,0.6854508961930521,1,0.37907155851299174,0.5393723788204023,0.7176267507658689,3.129688881775518e-31,1,1
