HigherTaxonomy,nBF,species_Uetz,percent_taxa,percent_studies
Acrodonta,18,747,2.4096385542168677,10.975609756097562
Anguimorpha,5,238,2.100840336134454,3.048780487804878
Dibamia,0,25,0,0
Gekkota,2,2008,0.099601593625498,1.2195121951219512
Lacertoidea,38,1016,3.740157480314961,23.170731707317074
Pleurodonta,74,1221,6.0606060606060606,45.1219512195122
Rhynchocephalia,1,1,100,0.6097560975609756
Scincoidea,26,1851,1.4046461372231227,15.853658536585366
