dataset,sex,tree,morph,covariate,lambda,residual_df,df_morph,F_morph,p_morph,df_covariate,F_covariate,p_covariate,df_morphxcovariate,F_morphxcovariate,p_morphxcovariate,adj.r2,bonf_p_morph,bonf_p_covariate,bonf_p_morphxcovariate
mean,male,full,HW,acrodont,0.8196530005666426,111,1,442.31560406838344,1.6083843976759757e-40,1,0.03294934175817934,0.8562908543701738,1,4.235138728079967,0.04193760217183899,0.7955463877309021,5.95102227140111e-39,1,1
mean,all,full,HH,acrodont,0.703323880523728,132,1,622.8601405166645,7.953810379158896e-52,1,0.34423797578986004,0.5583952221341728,1,1.2298643996602192,0.2694498245512615,0.8215310831463056,4.931362435078515e-50,1,1
mean,female,full,HH,acrodont,0.9377636894219665,92,1,295.6227984377426,1.7526168996709278e-30,1,0.1205789170326684,0.729200557186924,1,2.7568628147756873,0.10024270853191479,0.7567223007116409,3.6804954893089485e-29,1,1
mean,male,full,HH,acrodont,0.7329330885788916,110,1,553.3095244750486,1.0024622436071807e-44,1,0.1746722652029858,0.676807091866445,1,1.5092539141083758,0.22187489052418694,0.8300735144251318,5.026260187180538e-43,1,1
mean,all,full,HL,acrodont,0.9600037411068343,132,1,330.10116513216735,9.949979973480144e-38,1,0.7639025630061195,0.38369733510503223,1,1.269936011362487,0.26182310698826716,0.7091363527380967,2.8854941923092417e-36,1,1
mean,female,full,HL,acrodont,0.9801250452756661,93,1,154.14656882936669,1.898426457609057e-21,1,0.9889153506988876,0.32258801034832374,1,1.596831664963592,0.20951124001743482,0.6155883964189377,9.02417996913881e-21,1,1
mean,male,full,HL,acrodont,0.9639731268186508,112,1,290.4800078341966,6.858774929767303e-33,1,0.9400332239647973,0.33435842832176177,1,0.45044576969595473,0.5035051722948904,0.7152552519911742,1.5089304845488066e-31,1,1
mean,all,full,SVL,saxicolous,0.9504593497454243,157,1,407.8482685080366,1.6766650006675034e-45,1,0.19147266776007368,0.6622951014721068,1,0.6966330734785721,0.40518556783374204,0.717182759881194,9.053991003604518e-44,1,1
mean,female,full,SVL,saxicolous,0.9373073165833523,108,1,239.95357394540525,3.356548162400334e-29,1,0.916883066323555,0.3404333231806529,1,0.6519393040697997,0.4211949049312148,0.6824237840836102,5.370477059840535e-28,1,1
mean,male,full,SVL,saxicolous,0.9353405652641756,128,1,380.9693323090601,3.486959914708709e-40,1,0.41135989591263117,0.5224268763819251,1,0.3955351766768275,0.5305248975917464,0.7430245018037583,1.2553055692951352e-38,1,1
mean,all,full,HW,saxicolous,0.9857600689878743,138,1,408.2587919108067,4.619206639588356e-43,1,3.511505716580054,0.063058501543763,1,1.146747290503456,0.28610040446769536,0.744063101149802,2.1248350542106437e-41,1,1
mean,female,full,HW,saxicolous,0.9729833204027,92,1,204.76970461172044,3.9841064745556796e-25,1,4.382759739879794,0.03905551751616066,1,0.00866131262028586,0.9260533608330556,0.6845542405565311,3.585695827100111e-24,1,1
mean,male,full,HW,saxicolous,0.8423193023110593,111,1,426.9296479665159,7.720625240970587e-40,1,1.5084485104233942,0.22197386042205072,1,0.1830386344966377,0.6696036954227527,0.7887406689946306,2.7022188343397053e-38,1,1
mean,all,full,HH,saxicolous,0.7224056241488026,132,1,610.7259347577699,2.3217557448873006e-51,1,0.06513860088364769,0.7989483766688624,1,0.07482021432021049,0.7848711809527242,0.8182713714979046,1.4162710043812535e-49,1,1
mean,female,full,HH,saxicolous,0.97266518599891,92,1,281.862761756629,9.29364809597743e-30,1,3.5879084158118344,0.061342979626365576,1,0.047866717862811714,0.8273024346085072,0.7483433954934617,1.7657931382357118e-28,1,1
mean,male,full,HH,saxicolous,0.7169773442773889,110,1,553.5145006424909,9.855412131726546e-45,1,0.06187608586948081,0.8040187464338107,1,0.889859150999851,0.34758274942620293,0.8299386877792897,5.026260187180538e-43,1,1
mean,all,full,HL,saxicolous,0.9642063744862753,132,1,327.7906977408783,1.3865139795913868e-37,1,1.5061910923077015,0.22190549925899933,1,0.0913820306398695,0.7629032880807869,0.7074047856759585,3.882239142855883e-36,1,1
mean,female,full,HL,saxicolous,0.9859500137742198,93,1,154.4137412075962,1.804835993827762e-21,1,4.096904614720071,0.04583056896811509,1,0.036583841407388386,0.8487317849892199,0.6183619269894728,9.02417996913881e-21,1,1
mean,male,full,HL,saxicolous,1,112,1,468.80137560446354,7.809750414987018e-42,1,0.3733372490117509,0.5424288537403312,1,1.591691217297984,0.2097059099580584,0.8026653575142708,3.2800951742945478e-40,1,1
