dataset,sex,tree,morph,lambda,residual_df,df_morph,F_morph,p_morph,adj.r2
mean,all,full,SVL,0.9466721486717593,159,1,357.0628309975464,1.7004377680716264e-42,0.6899602327671596
mean,female,full,SVL,0.941517252717701,110,1,245.81629629995263,8.279850798411332e-30,0.6880412697387329
mean,male,full,SVL,0.9168709276889419,130,1,352.9859581317911,7.270986429993822e-39,0.7287705826755022
mean,all,full,HW,0.9616742496864099,140,1,382.6076851604119,7.101605426507853e-42,0.7301991455469685
mean,female,full,HW,0.9419704456898886,95,1,184.14154451008827,5.8237097662840885e-24,0.6560884544488484
mean,male,full,HW,0.8850633982956422,114,1,400.1143715155742,4.355958954232205e-39,0.7763143643291126
mean,all,full,HH,0.5804552024142365,134,1,630.296824046593,1.6452177499311375e-52,0.8233670535417923
mean,female,full,HH,0.9502066938154936,95,1,247.36215827447336,3.4245720854029217e-28,0.719595178147474
mean,male,full,HH,1e-6,113,1,699.5710887503619,3.1485582549483327e-50,0.8597045826780294
mean,all,full,HL,0.9517198237252742,134,1,314.1451270769693,6.086110515562571e-37,0.6987582998379593
mean,female,full,HL,0.9561474340902428,96,1,149.59120510559754,2.7122598692863685e-21,0.6050347162949397
mean,male,full,HL,0.9285969985312359,115,1,291.8463540274873,2.4502507047947384e-33,0.7148800797851987
