BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl,arboreal,fossorial,Diet,acrodont,arboreal_strict,fossorial_strict
Bradypodion melanocephalum,Female,Chamaeleonidae,Acrodonta,Bradypodion_melanocephalum,16,15,17.990000000000002,NA,58.42,12.08,7.92,7.359999999999999,11.91,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Karusasaurus polyzonus,Female,Cordylidae,Scincoidea,Karusasaurus_polyzonus,20,20,36.46,NA,111.64,27.45,22.950000000000003,13.56,27.92,Other,Other,Carnivorous,Pleurodont,Other,Other
Dalmatolacerta oxycephala,Female,Lacertidae,Lacertoidea,Dalmatolacerta_oxycephala,13,13,3.5999999999999996,NA,58.3,14.2,7.8,5.5,15,Other,Other,Carnivorous,Pleurodont,Other,Other
Ouroborus cataphractus,Female,Cordylidae,Scincoidea,Ouroborus_cataphractus,20,20,47.480000000000004,NA,104.13,28.28,26.049999999999997,13.52,28.009999999999998,Other,Other,Carnivorous,Pleurodont,Other,Other
Podarcis melisellensis,Female,Lacertidae,Lacertoidea,Podarcis_melisellensis,13,13,2.6999999999999997,NA,53.699999999999996,11.9,6.3,5,13.3,Other,Other,Carnivorous,Pleurodont,Other,Other
Podarcis siculus,Female,Lacertidae,Lacertoidea,Podarcis_siculus,NA,NA,8.6,5.96,67.01,14.39,7.89,6.33,15.149999999999999,Other,Other,Omnivorous,Pleurodont,Other,Other
Xenosaurus grandis,Female,Xenosauridae,Anguimorpha,Xenosaurus_grandis,10,10,23.23,NA,120.58999999999999,29.28,23.67,14.24,30.55,Other,Other,Carnivorous,Pleurodont,Other,Other
Xenosaurus newmanorum,Female,Xenosauridae,Anguimorpha,Xenosaurus_newmanorum,13,13,20.91,NA,118.18,28.55,22.47,13.58,30.72,Other,Other,Omnivorous,Pleurodont,Other,Other
Xenosaurus platyceps,Female,Xenosauridae,Anguimorpha,Xenosaurus_platyceps,15,15,14.95,NA,119.25,27.5,23.73,12.57,30.47,Other,Other,Carnivorous,Pleurodont,Other,Other
Gallotia galloti,Female,Lacertidae,Lacertoidea,Gallotia_galloti,24,24,50.400000000000006,NA,100,24.599999999999998,16.7,12.799999999999999,NA,Other,Other,Herbivorous,Pleurodont,Other,Other
Archaeolacerta bedriagae,Female,Lacertidae,Lacertoidea,Archaeolacerta_bedriagae,7,7,6,NA,72.9,17.7,10.600000000000001,7.300000000000001,NA,Other,Other,Omnivorous,Pleurodont,Other,Other
Lacerta bilineata,Female,Lacertidae,Lacertoidea,Lacerta_bilineata,2,2,16,NA,99.9,23.3,14.3,12.399999999999999,NA,Other,Other,Carnivorous,Pleurodont,Other,Other
Latastia longicaudata,Female,Lacertidae,Lacertoidea,Latastia_longicaudata,4,4,5.3999999999999995,NA,83.1,19.400000000000002,10,8.3,NA,Other,Other,Carnivorous,Pleurodont,Other,Other
Podarcis liolepis,Female,Lacertidae,Lacertoidea,Podarcis_liolepis,9,9,2.8000000000000003,NA,60.199999999999996,13.4,7.3,5.6000000000000005,NA,Other,Other,Omnivorous,Pleurodont,Other,Other
Podarcis hispanicus,Female,Lacertidae,Lacertoidea,Podarcis_hispanicus,17,17,2.6,NA,56.8,12.7,7.5,5.300000000000001,NA,Other,Other,Omnivorous,Pleurodont,Other,Other
Podarcis lilfordi,Female,Lacertidae,Lacertoidea,Podarcis_lilfordi,14,14,7.5,NA,63.7,16,9.3,7.1,NA,Other,Other,Omnivorous,Pleurodont,Other,Other
Podarcis tiliguerta,Female,Lacertidae,Lacertoidea,Podarcis_tiliguerta,11,11,1.5,NA,54.2,12.1,6.5,5.199999999999999,NA,Other,Other,Carnivorous,Pleurodont,Other,Other
Psammodromus algirus,Female,Lacertidae,Lacertoidea,Psammodromus_algirus,6,6,8.2,NA,72.4,17,10.8,8.1,NA,Arboreal,Other,Omnivorous,Pleurodont,Other,Other
Salvator merianae,Female,Teiidae,Lacertoidea,Salvator_merianae,9,9,312.94,NA,348,70.67,NA,NA,NA,Other,Other,Omnivorous,Pleurodont,Other,Other
Anolis carolinensis,Female,Dactyloidae,Pleurodonta,Anolis_carolinensis,40,40,3.572455532033676,NA,53.27604989415154,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Pleurodont,Arboreal,Other
Anolis pentaprion,Female,Dactyloidae,Pleurodonta,Anolis_pentaprion,1,1,3.95,NA,46.63,13.23,7.67,5.6,12.76,Arboreal,Other,Carnivorous,Pleurodont,Arboreal,Other
Acanthodactylus pardalis,Female,Lacertidae,Lacertoidea,Acanthodactylus_pardalis,1,1,1.88,NA,60.69,13.42,8.35,6.69,NA,Other,Other,Carnivorous,Pleurodont,Other,Other
Tupinambis teguixin,Female,Teiidae,Lacertoidea,Tupinambis_teguixin,2,2,90,NA,317.72,NA,NA,NA,NA,Other,Other,Omnivorous,Pleurodont,Other,Other
Bradypodion caeruleogula,Female,Chamaeleonidae,Acrodonta,Bradypodion_caeruleogula,2,3,7.2,NA,47.47,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion caffer,Female,Chamaeleonidae,Acrodonta,Bradypodion_caffer,10,10,17.95,NA,67.46,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion damaranum,Female,Chamaeleonidae,Acrodonta,Bradypodion_damaranum,9,9,28.07,NA,70.51,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion kentanicum,Female,Chamaeleonidae,Acrodonta,Bradypodion_kentanicum,2,5,11.84,NA,62.5,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion nemorale,Female,Chamaeleonidae,Acrodonta,Bradypodion_nemorale,19,20,14,NA,66.05,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion occidentale,Female,Chamaeleonidae,Acrodonta,Bradypodion_occidentale,9,9,40.54,NA,91.45,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion pumilum,Female,Chamaeleonidae,Acrodonta,Bradypodion_pumilum,22,23,17.919999999999998,NA,70.92,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Other,Other
Bradypodion setaroi,Female,Chamaeleonidae,Acrodonta,Bradypodion_setaroi,15,15,13.950000000000001,NA,62.43,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion taeniabronchum,Female,Chamaeleonidae,Acrodonta,Bradypodion_taeniabronchum,18,27,4.72,NA,58.38,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion thamnobates,Female,Chamaeleonidae,Acrodonta,Bradypodion_thamnobates,17,12,47.29,NA,85.55000000000001,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion transvaalense,Female,Chamaeleonidae,Acrodonta,Bradypodion_transvaalense,10,10,23.56,NA,78.34,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
Bradypodion ventrale,Female,Chamaeleonidae,Acrodonta,Bradypodion_ventrale,19,19,19.11,NA,80.24,NA,NA,NA,NA,Arboreal,Other,Carnivorous,Acrodont,Arboreal,Other
