BinomialReptileDatabase,Sex,Family,HigherTaxonomy,Superfamily,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Liolaemus petrophilus,Male,Liolaemidae,Iguania,Iguania,Liolaemus_petrophilus,2,2,10.53,NA,90.63,19.87,13.31,7.93,21.5
Liolaemus rothi,Male,Liolaemidae,Iguania,Iguania,Liolaemus_rothi,3,3,5.76,NA,79.35,16.55,12.32,8.48,18.1
Liolaemus sarmientoi,Male,Liolaemidae,Iguania,Iguania,Liolaemus_sarmientoi,4,4,7.12,NA,72.81,15.43,10.5,7.81,16.34
Liolaemus tenuis,Male,Liolaemidae,Iguania,Iguania,Liolaemus_tenuis,4,4,5.22,NA,53.03,12.98,8.62,5.3,13.44
Liolaemus xanthoviridis,Male,Liolaemidae,Iguania,Iguania,Liolaemus_xanthoviridis,5,5,11.83,NA,82.39,16.81,11.39,7.99,17.3
Liolaemus zullyae,Male,Liolaemidae,Iguania,Iguania,Liolaemus_zullyae,5,5,7.83,NA,68.33,15.95,10.62,7.75,16.57
Sauromalus ater,Male,Iguanidae,Iguania,Iguania,Sauromalus_ater,34,34,76.6,191.3,168.9,32.8,28.6,15.7,NA
Trogonophis wiegmanni,Male,Trogonophidae,Lacertoidea,Amphisbaenia,Trogonophis_wiegmanni,15,15,5.2,6.83,158.47,6.96,5.09,4.07,NA
Lacerta trilineata,Male,Lacertidae,Lacertoidea,Scincomorpha,Lacerta_trilineata,12,12,66.43,NA,158,54.1,32.5,28.1,33.9
Aspidoscelis sexlineatus,Male,Teiidae,Lacertoidea,Gymnophthalmoidea,Aspidoscelis_sexlineatus,112,112,4.33,NA,65.4,16.17,8.54,7.26,NA
Iberolacerta horvathi,Male,Lacertidae,Lacertoidea,Scincomorpha,Iberolacerta_horvathi,26,26,2.489,NA,61.6,21.3,8.6,5.6,NA
Podarcis muralis,Male,Lacertidae,Lacertoidea,Scincomorpha,Podarcis_muralis,30,30,13.64,8.75,71,19,9,NA,NA
Tarentola mauritanica,Male,Phyllodactylidae,Gekkota,Gekkota,Tarentola_mauritanica,12,12,5.48,NA,77.13,21.93,18.6,10.16,NA
Ablepharus kitaibelii,Male,Scincidae,Scincoidea,Scincomorpha,Ablepharus_kitaibelii,6,6,0.39,1.03,41.67,6.68,3.82,2.7,5.94
Anolis lineatopus,Male,Dactyloidae,Iguania,Iguania,Anolis_lineatopus,58,58,3.4,3.11,51.6,15.86,8.39,6.34,16.19
