BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Anolis garmani,Female,Dactyloidae,Iguania,Anolis_garmani,16,16,5.5,NA,74.13,20.89,11.48,8.91,21.88
Anolis grahami,Female,Dactyloidae,Iguania,Anolis_grahami,17,17,1.32,NA,44.67,13.49,7.24,5.25,13.8
Anolis gundlachi,Female,Dactyloidae,Iguania,Anolis_gundlachi,19,19,2.23,NA,46.02,14.15,7.57,5.85,13.95
Anolis humilis,Female,Dactyloidae,Iguania,Anolis_humilis,11,11,2.13,NA,35.16,10.33,5.64,4.32,10.32
Anolis krugi,Female,Dactyloidae,Iguania,Anolis_krugi,14,14,1.07,NA,31.62,10,5.62,4.68,10.23
Anolis limifrons,Female,Dactyloidae,Iguania,Anolis_limifrons,23,23,1.96,NA,39.24,10.89,5.56,4.24,10.64
Anolis olssoni,Female,Dactyloidae,Iguania,Anolis_olssoni,31,31,1.1,NA,38.9,10.72,5.13,4.27,11.22
Anolis pulchellus,Female,Dactyloidae,Iguania,Anolis_pulchellus,7,7,2.48,NA,40.09,12.74,6.13,4.96,12.99
Anolis sheplani,Female,Dactyloidae,Iguania,Anolis_sheplani,16,16,1.23,NA,37.15,10.47,4.37,4.27,10.72
Anolis singularis,Female,Dactyloidae,Iguania,Anolis_singularis,18,18,1.2,NA,33.88,10.72,6.17,4.68,11.22
Anolis smaragdinus,Female,Dactyloidae,Iguania,Anolis_smaragdinus,51,51,1.15,NA,44.67,13.18,6.46,4.37,13.49
Anolis stratulus,Female,Dactyloidae,Iguania,Anolis_stratulus,28,28,1.02,NA,38.02,11.75,6.61,4.9,11.75
Anolis valencienni,Female,Dactyloidae,Iguania,Anolis_valencienni,20,20,3.31,NA,61.18,17.04,8.11,6.45,17.05
Bradypodion melanocephalum,Female,Chamaeleonidae,Iguania,Bradypodion_melanocephalum,16,15,13.88,NA,57.47,11.23,7.33,6.89,11.05
Karusasaurus polyzonus,Female,Cordylidae,Scincoidea,Karusasaurus_polyzonus,20,20,30.15,NA,105.3,26.08,21.42,12.72,26.37
Dalmatolacerta oxycephala,Female,Lacertidae,Lacertoidea,Dalmatolacerta_oxycephala,13,13,2.9,NA,52.9,13.2,7.1,4.9,13.9
Ouroborus cataphractus,Female,Cordylidae,Scincoidea,Ouroborus_cataphractus,20,20,40.09,NA,100,27.05,24.81,12.92,26.52
Podarcis melisellensis,Female,Lacertidae,Lacertoidea,Podarcis_melisellensis,13,13,2.4,NA,51.3,11.5,6,4.7,12.8
Podarcis siculus,Female,Lacertidae,Lacertoidea,Podarcis_siculus,NA,NA,6.7,4.72,64.08,13.75,7.51,5.95,14.44
