BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl,arboreal,fossorial,Diet
Anolis cristatellus,Male,Dactyloidae,Pleurodonta,Anolis_cristatellus,35,35,33.366,10,67.6,17.76,12.95,10.27,20.68,Arboreal,Other,Omnivorous
Anolis equestris,unknown,Dactyloidae,Pleurodonta,Anolis_equestris,13,13,112.91,120,166.42,50.98,31.11,24.01,52.88,Arboreal,Other,Omnivorous
Anolis garmani,unknown,Dactyloidae,Pleurodonta,Anolis_garmani,39,39,32.79,38,117.66,33.65,19.94,15.72,35.52,Arboreal,Other,Omnivorous
Anolis oculatus,Male,Dactyloidae,Pleurodonta,Anolis_oculatus,61,61,40.602,15.12,86.8,21.66,15.42,12.33,25.24,Arboreal,Other,Carnivorous
Crotaphytus antiquus,Male,Crotaphytidae,Pleurodonta,Crotaphytus_antiquus,18,18,70.6,54.5,108.6,30.6,26.2,26.2,NA,Other,Other,Carnivorous
Podarcis erhardii,Male,Lacertidae,Lacertoidea,Podarcis_erhardii,187,187,21.34,11.1,81.68,17.7,12.3,9.7,15.35,Other,Other,Carnivorous
Podarcis melisellensis,Male,Lacertidae,Lacertoidea,Podarcis_melisellensis,148,64,13.98,5.31,64.67,15.13,9.04,7.2,16.19,Other,Other,Carnivorous
Uromastyx aegyptia,Male,Agamidae,Acrodonta,Uromastyx_aegyptia,7,7,140.7,891.8,330,42.1,48.6,29.7,48.9,Other,Other,Herbivorous
Urosaurus ornatus,Male,Phrynosomatidae,Pleurodonta,Urosaurus_ornatus,12,12,6.9,NA,52.7,12.04,10.21,6.86,NA,Arboreal,Other,Carnivorous
Trogonophis wiegmanni,unknown,Trogonophidae,Lacertoidea,Trogonophis_wiegmanni,25,25,8,6.79,156.36,6.85,5.05,4.04,NA,Other,Fossorial,Carnivorous
Anolis aquaticus,Male,Dactyloidae,Pleurodonta,Anolis_aquaticus,10,10,13.2,NA,60,15.5,8.4,6.9,15.7,Other,Other,Carnivorous
Anolis lionotus,Male,Dactyloidae,Pleurodonta,Anolis_lionotus,10,9,13.9,NA,66.5,16.8,8.8,7.2,16.9,Other,Other,Carnivorous
Anolis oxylophus,Male,Dactyloidae,Pleurodonta,Anolis_oxylophus,5,5,8,NA,61.1,15.7,8.5,7.1,15.8,Other,Other,Carnivorous
Anolis poecilopus,Male,Dactyloidae,Pleurodonta,Anolis_poecilopus,17,17,12.6,NA,66.8,16.6,9.1,7.1,16.9,Other,Other,Carnivorous
Ctenophorus maculosus,Male,Agamidae,Acrodonta,Ctenophorus_maculosus,32,32,14,12.5,70.21,NA,15.55,10.15,20.14,Other,Other,Carnivorous
Liolaemus baguali,Male,Liolaemidae,Pleurodonta,Liolaemus_baguali,6,6,12.99,NA,85.17,18.43,12.46,7.73,19.27,Other,Other,Carnivorous
Liolaemus bibronii,Male,Liolaemidae,Pleurodonta,Liolaemus_bibronii,4,4,3.27,NA,53.87,11.69,7.64,5.45,11.71,Other,Other,Carnivorous
Liolaemus canqueli,Male,Liolaemidae,Pleurodonta,Liolaemus_canqueli,7,7,14.14,NA,94.81,18.63,11.27,9.5,19.62,Arboreal,Other,Omnivorous
Liolaemus kriegi,Male,Liolaemidae,Pleurodonta,Liolaemus_kriegi,3,3,8.32,NA,78.17,16.64,12.38,7.89,17.03,Other,Other,Omnivorous
Liolaemus coeruleus,Male,Liolaemidae,Pleurodonta,Liolaemus_coeruleus,13,13,5.08,NA,61.69,12.89,9.34,5.81,13.49,Other,Other,Carnivorous
Liolaemus elongatus,Male,Liolaemidae,Pleurodonta,Liolaemus_elongatus,7,7,8.57,NA,74.84,16.27,10.53,6.82,16.31,Other,Other,Carnivorous
Liolaemus escarchadosi,Male,Liolaemidae,Pleurodonta,Liolaemus_escarchadosi,4,4,10.41,NA,79.64,17.27,11.22,8.95,18.01,Other,Other,Carnivorous
Liolaemus fitzingerii,Male,Liolaemidae,Pleurodonta,Liolaemus_fitzingerii,4,4,14.27,NA,93.55,18.66,12.76,9.18,19.39,Other,Other,Omnivorous
Liolaemus hatcheri,Male,Liolaemidae,Pleurodonta,Liolaemus_hatcheri,7,7,3.89,NA,59.18,12.91,9.18,5.68,13.12,Other,Other,Herbivorous
Liolaemus kingii,Male,Liolaemidae,Pleurodonta,Liolaemus_kingii,3,3,8.95,NA,73.78,15.71,10.57,7.64,16.19,Other,Other,Omnivorous
Liolaemus kolengh,Male,Liolaemidae,Pleurodonta,Liolaemus_kolengh,7,7,2.58,NA,55.53,12.02,8.85,5.4,12.64,Other,Other,Carnivorous
Liolaemus mapuche,Male,Liolaemidae,Pleurodonta,Liolaemus_mapuche,11,11,10.57,NA,78.96,16.5,11.65,8.61,17.22,Other,Other,Carnivorous
Liolaemus morenoi,Female,Liolaemidae,Pleurodonta,Liolaemus_morenoi,7,7,9.09,NA,69.03,14.22,9.92,7.05,14.48,Other,Other,Omnivorous
Liolaemus petrophilus,Male,Liolaemidae,Pleurodonta,Liolaemus_petrophilus,2,2,10.53,NA,90.63,19.87,13.31,7.93,21.5,Other,Other,Carnivorous
Liolaemus rothi,Male,Liolaemidae,Pleurodonta,Liolaemus_rothi,3,3,5.76,NA,79.35,16.55,12.32,8.48,18.1,Other,Other,Carnivorous
Liolaemus sarmientoi,Male,Liolaemidae,Pleurodonta,Liolaemus_sarmientoi,4,4,7.12,NA,72.81,15.43,10.5,7.81,16.34,Other,Other,Omnivorous
Liolaemus tenuis,Male,Liolaemidae,Pleurodonta,Liolaemus_tenuis,4,4,5.22,NA,53.03,12.98,8.62,5.3,13.44,Arboreal,Other,Carnivorous
Liolaemus xanthoviridis,Male,Liolaemidae,Pleurodonta,Liolaemus_xanthoviridis,5,5,11.83,NA,82.39,16.81,11.39,7.99,17.3,Other,Other,Omnivorous
Liolaemus zullyae,Male,Liolaemidae,Pleurodonta,Liolaemus_zullyae,5,5,7.83,NA,68.33,15.95,10.62,7.75,16.57,Other,Other,Carnivorous
Sauromalus ater,Male,Iguanidae,Pleurodonta,Sauromalus_ater,34,34,76.6,191.3,168.9,32.8,28.6,15.7,NA,Other,Other,Herbivorous
Lacerta trilineata,Male,Lacertidae,Lacertoidea,Lacerta_trilineata,12,12,66.43,NA,158,54.1,32.5,28.1,33.9,Arboreal,Other,Omnivorous
Aspidoscelis sexlineatus,Male,Teiidae,Lacertoidea,Aspidoscelis_sexlineatus,112,112,4.33,NA,65.4,16.17,8.54,7.26,NA,Other,Other,Carnivorous
Iberolacerta horvathi,Male,Lacertidae,Lacertoidea,Iberolacerta_horvathi,26,26,2.489,NA,61.6,21.3,8.6,5.6,NA,Other,Other,Carnivorous
