BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,bf_plus_sd,bm_plus_sd,svl_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Anolis evermanni,Male,Dactyloidae,Iguania,60,60,4.2,NA,56.1,17.34,10.45,8.04,18.1
Anolis frenatus,Male,Dactyloidae,Iguania,2,2,42.81,NA,140.98000000000002,35.3,20.169999999999998,16.56,36.89
Anolis garmani,Male,Dactyloidae,Iguania,23,23,13.88,NA,92.55,27.62,15.799999999999999,13.1,28.86
Anolis grahami,Male,Dactyloidae,Iguania,23,23,6.27,NA,59.95,18.85,11.1,8.36,19.69
Anolis gundlachi,Male,Dactyloidae,Iguania,28,28,8.47,NA,67.26,20.94,11.24,9.45,21.060000000000002
Anolis humilis,Male,Dactyloidae,Iguania,30,30,2.24,NA,34.629999999999995,10.41,5.87,4.59,10.33
Anolis krugi,Male,Dactyloidae,Iguania,39,39,3.77,NA,40.1,14.05,7.96,7.09,14.05
Anolis limifrons,Male,Dactyloidae,Iguania,26,26,1.74,NA,43.29,11.14,5.8100000000000005,4.510000000000001,10.82
Anolis lionotus,Male,Dactyloidae,Iguania,10,9,18.4,NA,74.7219219164378,18.476007159889242,9.653814968245463,8.053814968245463,18.73412104289766
Anolis olssoni,Male,Dactyloidae,Iguania,29,29,3.9799999999999995,NA,44.72,13.350000000000001,6.9399999999999995,6.23,14.33
Anolis oxylophus,Male,Dactyloidae,Iguania,5,5,10.906888370749726,NA,67.65167917407439,16.66150923032491,9.461509230324909,7.972066511224917,17.432329623574848
Anolis poecilopus,Male,Dactyloidae,Iguania,17,17,15.898484500494128,NA,70.6757192880806,17.548314293892062,9.594772675074118,7.553541618817943,17.889545350148236
Anolis pulchellus,Male,Dactyloidae,Iguania,39,39,3.88,NA,42.79,14.33,7.37,6.54,14.64
Anolis sheplani,Male,Dactyloidae,Iguania,9,9,2.34,NA,39.97,12.290000000000001,5.640000000000001,5.57,12.530000000000001
Anolis singularis,Male,Dactyloidae,Iguania,16,16,4.42,NA,40,13.4,7.88,6.4,14
