BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,Diet,arboreal,fossorial,saxicolous,Citation,Family,Sex,SSM,SSBF,BM,BM.SD,BM.SE,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MAX,HL,HL.SD,HL.SE,HL.MAX,HW,HW.SD,HW.SE,HW.MAX,HH,HH.SD,HH.SE,HH.MAX,BF,BF.SD,BF.SE,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MAX,DataQuality,HigherTaxonomy,tips,acrodont,number_NAs,bf_plus_sd,svl_plus_sd,bm_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Acontias meleagris,Afrotropic,Fossorial,Carnivorous,Other,Fossorial,Other,"Guilloux, et al., 2020",Scincidae,unknown,6,6,9.74,2.85,NA,NA,194.24,16.34,NA,NA,10.43,1.08,NA,NA,5.81,0.9,NA,NA,4.56,0.55,NA,NA,8.99,1.77,NA,NA,7.67,1.16,NA,NA,Yes1,Scincoidea,Acontias_meleagris,Non acrodont,14,10.76,210.58,12.59,11.51,6.71,5.11,8.83
Acontias percivali,Afrotropic,Fossorial,Carnivorous,Other,Fossorial,Other,"Guilloux, et al., 2020",Scincidae,unknown,12,12,16.87,5.07,NA,NA,246.83,12.48,NA,NA,13.88,1.34,NA,NA,8,0.75,NA,NA,6.98,0.7,NA,NA,10.08,3.06,NA,NA,13.25,0.76,NA,NA,Yes1,Scincoidea,Acontias_percivali,Non acrodont,14,13.14,259.31,21.94,15.22,8.75,7.68,14.01
Anolis allisoni,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,9,9,NA,NA,NA,NA,70.79,1.2,NA,NA,24.55,1.26,NA,NA,14.45,1.35,NA,NA,7.59,1.26,NA,NA,5.25,2.14,NA,NA,23.44,1.23,NA,NA,Yes1,Pleurodonta,Anolis_allisoni,Non acrodont,16,7.39,71.99,NA,25.81,15.8,8.85,24.67
Anolis allisoni,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,7,7,NA,NA,NA,NA,54.95,1.12,NA,NA,19.95,1.15,NA,NA,8.32,1.12,NA,NA,5.5,1.12,NA,NA,2,1.45,NA,NA,17.78,1.12,NA,NA,Yes1,Pleurodonta,Anolis_allisoni,Non acrodont,16,3.45,56.07,NA,21.1,9.44,6.62,18.9
Anolis angusticeps,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,57,57,NA,NA,NA,NA,43.65,1.12,NA,NA,13.49,1.12,NA,NA,6.17,1.15,NA,NA,4.57,1.15,NA,NA,1.58,1.86,NA,NA,13.8,1.15,NA,NA,Yes1,Pleurodonta,Anolis_angusticeps,Non acrodont,16,3.44,44.77,NA,14.61,7.32,5.72,14.95
Anolis angusticeps,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,26,26,NA,NA,NA,NA,39.81,1.05,NA,NA,11.48,1.05,NA,NA,5.13,1.1,NA,NA,3.8,1.1,NA,NA,1.51,1.48,NA,NA,11.48,1.05,NA,NA,Yes1,Pleurodonta,Anolis_angusticeps,Non acrodont,16,2.99,40.86,NA,12.53,6.23,4.9,12.53
Anolis aquaticus,Neotropic,Semi-Aquatic,Carnivorous,Other,Other,Other,"Munoz, et al., 2015",Dactyloidae,Male,10,10,NA,NA,NA,NA,60,6.071573108,1.92,NA,15.5,1.39140217,0.44,NA,8.4,0.885437745,0.28,NA,6.9,0.695701085,0.22,NA,13.2,5.692099788,1.8,NA,15.7,1.58113883,0.5,NA,Yes1,Pleurodonta,Anolis_aquaticus,Non acrodont,10,18.89209979,66.07157311,NA,16.89140217,9.285437745,7.595701085,17.28113883
Anolis aquaticus,Neotropic,Semi-Aquatic,Carnivorous,Other,Other,Other,"Munoz, et al., 2015",Dactyloidae,Female,9,9,NA,NA,NA,NA,52.4,7.65,2.55,NA,13.9,1.68,0.56,NA,7.7,0.96,0.32,NA,6.3,0.72,0.24,NA,9,4.2,1.4,NA,13.9,1.83,0.61,NA,Yes1,Pleurodonta,Anolis_aquaticus,Non acrodont,10,13.2,60.05,NA,15.58,8.66,7.02,15.73
Anolis auratus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,22,22,NA,NA,NA,NA,46.03,1.67,NA,NA,11.81,0.3,NA,NA,6.13,0.24,NA,NA,4.85,0.17,NA,NA,2.87,0.6,NA,NA,11.89,0.35,NA,NA,Yes1,Pleurodonta,Anolis_auratus,Non acrodont,16,3.47,47.7,NA,12.11,6.37,5.02,12.24
Anolis auratus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,23,23,NA,NA,NA,NA,43.52,2.2,NA,NA,11.79,0.52,NA,NA,5.93,0.29,NA,NA,4.82,0.24,NA,NA,2.15,0.48,NA,NA,11.63,0.55,NA,NA,Yes1,Pleurodonta,Anolis_auratus,Non acrodont,16,2.63,45.72,NA,12.31,6.22,5.06,12.18
