BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,Diet,arboreal,fossorial,saxicolous,Citation,Family,Sex,SSM,SSBF,BM,BM.SD,BM.SE,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MAX,HL,HL.SD,HL.SE,HL.MAX,HW,HW.SD,HW.SE,HW.MAX,HH,HH.SD,HH.SE,HH.MAX,BF,BF.SD,BF.SE,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MAX,DataQuality,HigherTaxonomy,tips,acrodont,number_NAs,bf_plus_sd,svl_plus_sd,bm_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Anolis cybotes,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,61,61,NA,NA,NA,NA,57.54,1.2,NA,NA,19.95,1.2,NA,NA,11.75,1.23,NA,NA,9.55,1.26,NA,NA,11.75,1.78,NA,NA,19.5,1.2,NA,NA,Yes1,Pleurodonta,Anolis_cybotes,Non acrodont,16,13.53,58.74,NA,21.15,12.98,10.81,20.7
Anolis cybotes,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,44,44,NA,NA,NA,NA,45.71,1.07,NA,NA,15.49,1.07,NA,NA,8.91,1.1,NA,NA,7.08,1.12,NA,NA,4.9,1.29,NA,NA,15.49,1.07,NA,NA,Yes1,Pleurodonta,Anolis_cybotes,Non acrodont,16,6.19,46.78,NA,16.56,10.01,8.2,16.56
Anolis distichus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,75,75,NA,NA,NA,NA,41.08,2.62,NA,NA,11.72,0.61,NA,NA,7.34,0.56,NA,NA,5.29,0.63,NA,NA,1.41,0.59,NA,NA,11.59,0.73,NA,NA,Yes1,Pleurodonta,Anolis_distichus,Non acrodont,16,2,43.7,NA,12.33,7.9,5.92,12.32
Anolis distichus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,83,83,NA,NA,NA,NA,46.81,3.3,NA,NA,13.27,0.93,NA,NA,8.59,0.93,NA,NA,6.1,0.7,NA,NA,2.8,1.34,NA,NA,13.44,1.15,NA,NA,Yes1,Pleurodonta,Anolis_distichus,Non acrodont,16,4.14,50.11,NA,14.2,9.52,6.8,14.59
Anolis distichus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,91,91,NA,NA,NA,NA,45.71,1.1,NA,NA,12.88,1.1,NA,NA,8.32,1.12,NA,NA,5.89,1.15,NA,NA,2.29,1.74,NA,NA,13.18,1.12,NA,NA,Yes1,Pleurodonta,Anolis_distichus,Non acrodont,16,4.03,46.81,NA,13.98,9.44,7.04,14.3
Anolis distichus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,78,78,NA,NA,NA,NA,40.74,1.07,NA,NA,11.75,1.05,NA,NA,7.24,1.07,NA,NA,5.25,1.12,NA,NA,1.29,1.48,NA,NA,11.48,1.07,NA,NA,Yes1,Pleurodonta,Anolis_distichus,Non acrodont,16,2.77,41.81,NA,12.8,8.31,6.37,12.55
Anolis equestris,Neotropic,Arboreal,Omnivorous,Arboreal,Other,Other,"Herrel & O'Reilly, 2006",Dactyloidae,unknown,13,13,43.89,39.95,NA,120,116.03,41.96,NA,166.42,35.81,12.27,NA,50.98,20.48,7.73,NA,31.11,15.99,5.81,NA,24.01,37.09,39.97,NA,112.91,36.05,13.06,NA,52.88,Yes1,Pleurodonta,Anolis_equestris,Non acrodont,7,77.06,157.99,83.84,48.08,28.21,21.8,49.11
Anolis equestris,Neotropic,Arboreal,Omnivorous,Arboreal,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,2,2,NA,NA,NA,NA,133.34,1.5,NA,NA,43.71,1.95,NA,NA,25.32,0.18,NA,NA,17.13,1.61,NA,NA,21.17,6.92,NA,NA,43.09,1.5,NA,NA,Yes1,Pleurodonta,Anolis_equestris,Non acrodont,16,28.09,134.84,NA,45.66,25.5,18.74,44.59
Anolis equestris,Neotropic,Arboreal,Omnivorous,Arboreal,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,10,10,NA,NA,NA,NA,157.35,15.92,NA,NA,49.3,3.84,NA,NA,28.89,3.12,NA,NA,20.94,2.25,NA,NA,57.62,30.8,NA,NA,49.75,4.04,NA,NA,Yes1,Pleurodonta,Anolis_equestris,Non acrodont,16,88.42,173.27,NA,53.14,32.01,23.19,53.79
Anolis evermanni,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,60,60,NA,NA,NA,NA,54.95,1.15,NA,NA,16.22,1.12,NA,NA,9.33,1.12,NA,NA,6.92,1.12,NA,NA,2.69,1.51,NA,NA,16.98,1.12,NA,NA,Yes1,Pleurodonta,Anolis_evermanni,Non acrodont,16,4.2,56.1,NA,17.34,10.45,8.04,18.1
Anolis evermanni,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,44,44,NA,NA,NA,NA,45.71,1.1,NA,NA,13.8,1.07,NA,NA,7.76,1.07,NA,NA,5.75,1.07,NA,NA,1.48,1.26,NA,NA,14.13,1.07,NA,NA,Yes1,Pleurodonta,Anolis_evermanni,Non acrodont,16,2.74,46.81,NA,14.87,8.83,6.82,15.2
Anolis frenatus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,3,3,NA,NA,NA,NA,73.88,3.46,NA,NA,19.96,0.63,NA,NA,11.5,0.85,NA,NA,9.53,0.8,NA,NA,10.51,0.69,NA,NA,20.45,0.83,NA,NA,Yes1,Pleurodonta,Anolis_frenatus,Non acrodont,16,11.2,77.34,NA,20.59,12.35,10.33,21.28
Anolis frenatus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,2,2,NA,NA,NA,NA,114.62,26.36,NA,NA,28.84,6.46,NA,NA,16.36,3.81,NA,NA,13.36,3.2,NA,NA,27.29,15.52,NA,NA,29.72,7.17,NA,NA,Yes1,Pleurodonta,Anolis_frenatus,Non acrodont,16,42.81,140.98,NA,35.3,20.17,16.56,36.89
Anolis garmani,Neotropic,Arboreal,Omnivorous,Arboreal,Other,Other,"Herrel & O'Reilly, 2006",Dactyloidae,unknown,39,39,16.71,11.52,NA,38,84.05,22.62,NA,117.66,23.92,6.27,NA,33.65,13.38,3.7,NA,19.94,10.58,3.07,NA,15.72,11.05,8.9,NA,32.79,25.22,6.6,NA,35.52,Yes1,Pleurodonta,Anolis_garmani,Non acrodont,7,19.95,106.67,28.23,30.19,17.08,13.65,31.82
Anolis garmani,Neotropic,Arboreal,Omnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,23,23,NA,NA,NA,NA,91.2,1.35,NA,NA,26.3,1.32,NA,NA,14.45,1.35,NA,NA,11.75,1.35,NA,NA,11.48,2.4,NA,NA,27.54,1.32,NA,NA,Yes1,Pleurodonta,Anolis_garmani,Non acrodont,16,13.88,92.55,NA,27.62,15.8,13.1,28.86
Anolis garmani,Neotropic,Arboreal,Omnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,16,16,NA,NA,NA,NA,74.13,1.2,NA,NA,20.89,1.15,NA,NA,11.48,1.17,NA,NA,8.91,1.17,NA,NA,5.5,1.66,NA,NA,21.88,1.15,NA,NA,Yes1,Pleurodonta,Anolis_garmani,Non acrodont,16,7.16,75.33,NA,22.04,12.65,10.08,23.03
Anolis grahami,Neotropic,Arboreal/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Meyer, et al., 2019",Dactyloidae,Male,23,23,NA,NA,NA,NA,58.88,1.07,NA,NA,17.78,1.07,NA,NA,10,1.1,NA,NA,7.24,1.12,NA,NA,4.79,1.48,NA,NA,18.62,1.07,NA,NA,Yes1,Pleurodonta,Anolis_grahami,Non acrodont,16,6.27,59.95,NA,18.85,11.1,8.36,19.69
Anolis grahami,Neotropic,Arboreal/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Meyer, et al., 2019",Dactyloidae,Female,17,17,NA,NA,NA,NA,44.67,1.07,NA,NA,13.49,2,NA,NA,7.24,1.1,NA,NA,5.25,1.12,NA,NA,1.32,1.41,NA,NA,13.8,1.07,NA,NA,Yes1,Pleurodonta,Anolis_grahami,Non acrodont,16,2.73,45.74,NA,15.49,8.34,6.37,14.87
Anolis gundlachi,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,19,19,NA,NA,NA,NA,46.02,2.43,NA,NA,14.15,0.48,NA,NA,7.57,0.25,NA,NA,5.85,0.32,NA,NA,2.23,0.43,NA,NA,13.95,0.51,NA,NA,Yes1,Pleurodonta,Anolis_gundlachi,Non acrodont,16,2.66,48.45,NA,14.63,7.82,6.17,14.46
Anolis gundlachi,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,28,28,NA,NA,NA,NA,63.25,4.01,NA,NA,19.8,1.14,NA,NA,10.44,0.8,NA,NA,8.6,0.85,NA,NA,6.65,1.82,NA,NA,19.92,1.14,NA,NA,Yes1,Pleurodonta,Anolis_gundlachi,Non acrodont,16,8.47,67.26,NA,20.94,11.24,9.45,21.06
Anolis gundlachi,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,52,52,NA,NA,NA,NA,53.7,1.23,NA,NA,17.38,1.2,NA,NA,9.12,1.2,NA,NA,7.41,1.2,NA,NA,3.98,1.91,NA,NA,17.38,1.2,NA,NA,Yes1,Pleurodonta,Anolis_gundlachi,Non acrodont,16,5.89,54.93,NA,18.58,10.32,8.61,18.58
Anolis gundlachi,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,19,19,NA,NA,NA,NA,45.71,1.05,NA,NA,14.13,1.02,NA,NA,7.59,1.02,NA,NA,5.89,1.05,NA,NA,2.19,1.23,NA,NA,13.8,1.05,NA,NA,Yes1,Pleurodonta,Anolis_gundlachi,Non acrodont,16,3.42,46.76,NA,15.15,8.61,6.94,14.85
Anolis humilis,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,11,11,NA,NA,NA,NA,35.16,2.55,NA,NA,10.33,0.48,NA,NA,5.64,0.39,NA,NA,4.32,0.46,NA,NA,2.13,0.7,NA,NA,10.32,0.66,NA,NA,Yes1,Pleurodonta,Anolis_humilis,Non acrodont,16,2.83,37.71,NA,10.81,6.03,4.78,10.98
Anolis humilis,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,30,30,NA,NA,NA,NA,32.73,1.9,NA,NA,9.99,0.42,NA,NA,5.54,0.33,NA,NA,4.27,0.32,NA,NA,1.77,0.47,NA,NA,9.83,0.5,NA,NA,Yes1,Pleurodonta,Anolis_humilis,Non acrodont,16,2.24,34.63,NA,10.41,5.87,4.59,10.33
Anolis krugi,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,39,39,NA,NA,NA,NA,38.9,1.2,NA,NA,12.88,1.17,NA,NA,6.76,1.2,NA,NA,5.89,1.2,NA,NA,1.91,1.86,NA,NA,12.88,1.17,NA,NA,Yes1,Pleurodonta,Anolis_krugi,Non acrodont,16,3.77,40.1,NA,14.05,7.96,7.09,14.05
Anolis krugi,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,14,14,NA,NA,NA,NA,31.62,1.2,NA,NA,10,1.23,NA,NA,5.62,1.15,NA,NA,4.68,1.17,NA,NA,1.07,1.48,NA,NA,10.23,1.2,NA,NA,Yes1,Pleurodonta,Anolis_krugi,Non acrodont,16,2.55,32.82,NA,11.23,6.77,5.85,11.43
Anolis limifrons,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,23,23,NA,NA,NA,NA,39.24,2.51,NA,NA,10.89,0.63,NA,NA,5.56,0.38,NA,NA,4.24,0.31,NA,NA,1.96,0.49,NA,NA,10.64,0.58,NA,NA,Yes1,Pleurodonta,Anolis_limifrons,Non acrodont,16,2.45,41.75,NA,11.52,5.94,4.55,11.22
Anolis limifrons,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,26,26,NA,NA,NA,NA,37.6,5.69,NA,NA,10.63,0.51,NA,NA,5.4,0.41,NA,NA,4.23,0.28,NA,NA,1.42,0.32,NA,NA,10.27,0.55,NA,NA,Yes1,Pleurodonta,Anolis_limifrons,Non acrodont,16,1.74,43.29,NA,11.14,5.81,4.51,10.82
Anolis lineatopus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2006",Dactyloidae,Male,58,58,3.11,1.15,NA,NA,51.6,5.87,NA,NA,15.86,2.06,NA,NA,8.39,1.1,NA,NA,6.34,0.83,NA,NA,3.4,1.42,NA,NA,16.19,2.21,NA,NA,Yes1,Pleurodonta,Anolis_lineatopus,Non acrodont,14,4.82,57.47,4.26,17.92,9.49,7.17,18.4
Anolis lineatopus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2006",Dactyloidae,Female,45,45,1.86,0.47,NA,NA,44.02,2.24,NA,NA,13,0.58,NA,NA,6.79,0.32,NA,NA,5.12,0.32,NA,NA,1.66,0.3,NA,NA,13.14,0.62,NA,NA,Yes1,Pleurodonta,Anolis_lineatopus,Non acrodont,14,1.96,46.26,2.33,13.58,7.11,5.44,13.76
Anolis lineatopus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,57,57,NA,NA,NA,NA,51.29,1.12,NA,NA,15.85,1.15,NA,NA,8.32,1.15,NA,NA,6.31,1.15,NA,NA,3.09,1.55,NA,NA,16.22,1.15,NA,NA,Yes1,Pleurodonta,Anolis_lineatopus,Non acrodont,16,4.64,52.41,NA,17,9.47,7.46,17.37
Anolis lineatopus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,44,44,NA,NA,NA,NA,43.65,1.05,NA,NA,12.88,1.05,NA,NA,6.76,1.05,NA,NA,5.13,1.07,NA,NA,1.62,1.2,NA,NA,13.18,1.05,NA,NA,Yes1,Pleurodonta,Anolis_lineatopus,Non acrodont,16,2.82,44.7,NA,13.93,7.81,6.2,14.23
Anolis lionotus,Neotropic,Semi-Aquatic,Carnivorous,Other,Other,Other,"Munoz, et al., 2015",Dactyloidae,Male,10,9,NA,NA,NA,NA,66.5,8.221921916,2.6,NA,16.8,1.67600716,0.53,NA,8.8,0.853814968,0.27,NA,7.2,0.853814968,0.27,NA,13.9,4.5,1.5,NA,16.9,1.834121043,0.58,NA,Yes1,Pleurodonta,Anolis_lionotus,Non acrodont,10,18.4,74.72192192,NA,18.47600716,9.653814968,8.053814968,18.73412104
Anolis lionotus,Neotropic,Semi-Aquatic,Carnivorous,Other,Other,Other,"Munoz, et al., 2015",Dactyloidae,Female,11,11,NA,NA,NA,NA,57.1,6.533750837,1.97,NA,14.6,1.326649916,0.4,NA,7.9,0.79598995,0.24,NA,6.2,0.596992462,0.18,NA,10,3.648287269,1.1,NA,14.7,1.525647404,0.46,NA,Yes1,Pleurodonta,Anolis_lionotus,Non acrodont,10,13.64828727,63.63375084,NA,15.92664992,8.69598995,6.796992462,16.2256474
Anolis oculatus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Dufour, et al., 2018",Dactyloidae,Male,61,61,8.17,2.31,NA,15.12,68.62,5.8,NA,86.8,17.77,1.72,NA,21.66,12.04,1.16,NA,15.42,9.36,1.01,NA,12.33,24.11,6.54,NA,40.602,20.86,2.31,NA,25.24,Yes1,Pleurodonta,Anolis_oculatus,Non acrodont,7,30.65,74.42,10.48,19.49,13.2,10.37,23.17
Anolis oculatus,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Dufour, et al., 2018",Dactyloidae,Female,15,15,4.19,0.95,NA,6.82,54.99,3.17,NA,61.82,14.26,0.73,NA,15.43,9.12,0.61,NA,10.62,7.08,0.61,NA,8.59,12.07,4.22,NA,24.187,16.51,1.28,NA,19.79,Yes1,Pleurodonta,Anolis_oculatus,Non acrodont,7,16.29,58.16,5.14,14.99,9.73,7.69,17.79
Anolis olssoni,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,29,29,NA,NA,NA,NA,43.65,1.07,NA,NA,12.3,1.05,NA,NA,5.89,1.05,NA,NA,5.13,1.1,NA,NA,2.57,1.41,NA,NA,13.18,1.15,NA,NA,Yes1,Pleurodonta,Anolis_olssoni,Non acrodont,16,3.98,44.72,NA,13.35,6.94,6.23,14.33
Anolis olssoni,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,31,31,NA,NA,NA,NA,38.9,1.1,NA,NA,10.72,1.07,NA,NA,5.13,1.07,NA,NA,4.27,1.1,NA,NA,1.1,1.62,NA,NA,11.22,1.07,NA,NA,Yes1,Pleurodonta,Anolis_olssoni,Non acrodont,16,2.72,40,NA,11.79,6.2,5.37,12.29
Anolis oxylophus,Neotropic,Semi-Aquatic,Carnivorous,Other,Other,Other,"Munoz, et al., 2015",Dactyloidae,Male,5,5,NA,NA,NA,NA,61.1,6.551679174,2.93,NA,15.7,0.96150923,0.43,NA,8.5,0.96150923,0.43,NA,7.1,0.872066511,0.39,NA,8,2.906888371,1.3,NA,15.8,1.632329624,0.73,NA,Yes1,Pleurodonta,Anolis_oxylophus,Non acrodont,10,10.90688837,67.65167917,NA,16.66150923,9.46150923,7.972066511,17.43232962
Anolis oxylophus,Neotropic,Semi-Aquatic,Carnivorous,Other,Other,Other,"Munoz, et al., 2015",Dactyloidae,Female,7,7,NA,NA,NA,NA,55.3,3.889254427,1.47,NA,13.8,0.714352854,0.27,NA,7.7,0.661437828,0.25,NA,6.3,0.476235236,0.18,NA,6.6,2.645751311,1,NA,14,0.873097933,0.33,NA,Yes1,Pleurodonta,Anolis_oxylophus,Non acrodont,10,9.245751311,59.18925443,NA,14.51435285,8.361437828,6.776235236,14.87309793
Anolis oxylophus,Neotropic,Semi-Aquatic,Carnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,7,7,NA,NA,NA,NA,55.28,3.89,NA,NA,13.82,0.7,NA,NA,7.7,0.67,NA,NA,6.26,0.47,NA,NA,4.43,1.59,NA,NA,14,0.86,NA,NA,Yes1,Pleurodonta,Anolis_oxylophus,Non acrodont,16,6.02,59.17,NA,14.52,8.37,6.73,14.86
Anolis pentaprion,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,1,1,NA,NA,NA,NA,46.63,NA,NA,NA,13.23,NA,NA,NA,7.67,NA,NA,NA,5.6,NA,NA,NA,3.95,NA,NA,NA,12.76,NA,NA,NA,Maybe,Pleurodonta,Anolis_pentaprion,Non acrodont,22,3.95,46.63,NA,13.23,7.67,5.6,12.76
Anolis poecilopus,Neotropic,Semi-Aquatic,Carnivorous,Other,Other,Other,"Munoz, et al., 2015",Dactyloidae,Male,17,17,NA,NA,NA,NA,66.8,3.875719288,0.94,NA,16.6,0.948314294,0.23,NA,9.1,0.494772675,0.12,NA,7.1,0.453541619,0.11,NA,12.6,3.2984845,0.8,NA,16.9,0.98954535,0.24,NA,Yes1,Pleurodonta,Anolis_poecilopus,Non acrodont,10,15.8984845,70.67571929,NA,17.54831429,9.594772675,7.553541619,17.88954535
Anolis poecilopus,Neotropic,Semi-Aquatic,Carnivorous,Other,Other,Other,"Munoz, et al., 2015",Dactyloidae,Female,7,7,NA,NA,NA,NA,59.6,3.57176427,1.35,NA,15,0.820182906,0.31,NA,8.4,0.396862697,0.15,NA,6.3,0.370405184,0.14,NA,10.1,1.852025918,0.7,NA,15.1,0.793725393,0.3,NA,Yes1,Pleurodonta,Anolis_poecilopus,Non acrodont,10,11.95202592,63.17176427,NA,15.82018291,8.796862697,6.670405184,15.89372539
Anolis pulchellus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,7,7,NA,NA,NA,NA,40.09,4.21,NA,NA,12.74,2.22,NA,NA,6.13,1.12,NA,NA,4.96,1.06,NA,NA,2.48,2.22,NA,NA,12.99,2.41,NA,NA,Yes1,Pleurodonta,Anolis_pulchellus,Non acrodont,16,4.7,44.3,NA,14.96,7.25,6.02,15.4
Anolis pulchellus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,36,36,NA,NA,NA,NA,42.13,3.85,NA,NA,13.43,1.65,NA,NA,6.3,0.9,NA,NA,5.36,0.9,NA,NA,2.52,1.2,NA,NA,13.68,1.76,NA,NA,Yes1,Pleurodonta,Anolis_pulchellus,Non acrodont,16,3.72,45.98,NA,15.08,7.2,6.26,15.44
Anolis pulchellus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,39,39,NA,NA,NA,NA,41.69,1.1,NA,NA,13.18,1.15,NA,NA,6.17,1.2,NA,NA,5.37,1.17,NA,NA,2.14,1.74,NA,NA,13.49,1.15,NA,NA,Yes1,Pleurodonta,Anolis_pulchellus,Non acrodont,16,3.88,42.79,NA,14.33,7.37,6.54,14.64
Anolis pulchellus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,7,7,NA,NA,NA,NA,39.81,1.12,NA,NA,12.59,1.17,NA,NA,6.03,1.2,NA,NA,4.9,1.23,NA,NA,1.86,2.19,NA,NA,12.88,1.2,NA,NA,Yes1,Pleurodonta,Anolis_pulchellus,Non acrodont,16,4.05,40.93,NA,13.76,7.23,6.13,14.08
Anolis sagrei,Neotropic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Edwards and Lailvaux, 2013",Dactyloidae,Male,55,55,NA,NA,NA,NA,56.66,2.89231741,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,1.186591758,0.16,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Anolis_sagrei,Non acrodont,22,7.036591758,59.55231741,NA,NA,NA,NA,NA
Anolis sagrei,Neotropic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Edwards and Lailvaux, 2013",Dactyloidae,Female,38,38,NA,NA,NA,NA,42.02,2.034256621,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,0.06164414,0.01,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Anolis_sagrei,Non acrodont,22,1.43164414,44.05425662,NA,NA,NA,NA,NA
Anolis sagrei,Neotropic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Driessens, et al., 2015",Dactyloidae,Male,61,60,4.83,1.171537451,0.15,NA,55.67,4.295637322,0.55,61.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.084435337,0.14,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Anolis_sagrei,Non acrodont,18,5.084435337,59.96563732,6.001537451,NA,NA,NA,NA
Anolis sagrei,Neotropic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Driessens, et al., 2015",Dactyloidae,Female,38,37,2.29,0.43150898,0.07,NA,45.49,2.527409741,0.41,50.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09,0.425793377,0.07,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Anolis_sagrei,Non acrodont,18,2.515793377,48.01740974,2.72150898,NA,NA,NA,NA
Anolis sagrei,Neotropic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Baeckens, et al., 2018",Dactyloidae,Male,27,27,NA,NA,NA,NA,58.13,5.85,NA,NA,16.27,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.99,2.24,NA,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Anolis_sagrei,Non acrodont,22,10.23,63.98,NA,17.79,NA,NA,NA
Anolis sagrei,Neotropic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Meyer, et al., 2019",Dactyloidae,Male,189,189,NA,NA,NA,NA,48.98,1.2,NA,NA,13.8,1.15,NA,NA,7.76,1.15,NA,NA,5.89,1.2,NA,NA,2.75,1.78,NA,NA,14.13,1.15,NA,NA,Yes1,Pleurodonta,Anolis_sagrei,Non acrodont,16,4.53,50.18,NA,14.95,8.91,7.09,15.28
Anolis sagrei,Neotropic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Meyer, et al., 2019",Dactyloidae,Female,139,139,NA,NA,NA,NA,38.02,1.12,NA,NA,10.96,1.1,NA,NA,6.03,1.1,NA,NA,4.47,1.15,NA,NA,1.07,1.55,NA,NA,10.96,1.1,NA,NA,Yes1,Pleurodonta,Anolis_sagrei,Non acrodont,16,2.62,39.14,NA,12.06,7.13,5.62,12.06
Anolis sheplani,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Huyghe, et al., 2007",Dactyloidae,Male,9,9,0.61,0.15,0.05,NA,38.61,2.28,0.76,NA,11.26,0.66,0.22,NA,4.57,0.33,0.11,NA,4.46,0.42,0.14,NA,1.02,0.27,0.09,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Anolis_sheplani,Non acrodont,10,1.29,40.89,0.76,11.92,4.9,4.88,NA
Anolis sheplani,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Huyghe, et al., 2007",Dactyloidae,Female,16,16,0.64,0.28,0.07,NA,37.4,4.52,1.13,NA,10.63,1.16,0.29,NA,4.39,0.44,0.11,NA,4.27,0.48,0.12,NA,0.96,0.48,0.12,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Anolis_sheplani,Non acrodont,10,1.44,41.92,0.92,11.79,4.83,4.75,NA
Anolis sheplani,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,9,9,NA,NA,NA,NA,38.9,1.07,NA,NA,11.22,1.07,NA,NA,4.57,1.07,NA,NA,4.47,1.1,NA,NA,1.02,1.32,NA,NA,11.48,1.05,NA,NA,Yes1,Pleurodonta,Anolis_sheplani,Non acrodont,16,2.34,39.97,NA,12.29,5.64,5.57,12.53
Anolis sheplani,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,16,16,NA,NA,NA,NA,37.15,1.12,NA,NA,10.47,1.12,NA,NA,4.37,1.1,NA,NA,4.27,1.12,NA,NA,1.23,1.91,NA,NA,10.72,1.1,NA,NA,Yes1,Pleurodonta,Anolis_sheplani,Non acrodont,16,3.14,38.27,NA,11.59,5.47,5.39,11.82
