BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,bf_plus_sd,bm_plus_sd,svl_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Anolis cristatellus,Male,Dactyloidae,Iguania,35,35,25.810000000000002,8.63,64.27,16.66,12.19,9.82,19.73
Anolis garmani,unknown,Dactyloidae,Iguania,39,39,19.950000000000003,28.23,106.67,30.19,17.080000000000002,13.65,31.82
Anolis oculatus,Male,Dactyloidae,Iguania,61,61,30.65,10.48,74.42,19.49,13.2,10.37,23.169999999999998
Podarcis erhardii,Male,Lacertidae,Lacertoidea,187,187,13.36,8.1,68.32000000000001,16.23,10.89,8.24,13.42
Uromastyx aegyptia,Male,Agamidae,Iguania,7,7,133.62,696.81,297.51,40.85,43.63,27.08,47.45
Ctenophorus maculosus,Male,Agamidae,Iguania,32,32,11.89,11.88,68.84,NA,15.03,9.860000000000001,19.580000000000002
Ablepharus kitaibelii,Male,Scincidae,Scincoidea,6,6,0.55,1.1300000000000001,43.77,7.1499999999999995,4.03,2.89,6.710000000000001
Acontias kgalagadi,unknown,Scincidae,Scincoidea,5,5,1.56,2.59,128.22,7.76,3.8000000000000003,4.09,6.04
Acontias litoralis,unknown,Scincidae,Scincoidea,47,42,0.9199999999999999,1.8399999999999999,124.98,6.86,3.3,2.8,5.85
Acontias meleagris,unknown,Scincidae,Scincoidea,6,6,10.76,12.59,210.58,11.51,6.71,5.109999999999999,8.83
Acontias percivali,unknown,Scincidae,Scincoidea,12,12,13.14,21.94,259.31,15.22,8.75,7.680000000000001,14.01
Anolis lineatopus,Male,Dactyloidae,Iguania,58,58,4.82,4.26,57.47,17.919999999999998,9.49,7.17,18.400000000000002
Chalcides ocellatus,unknown,Scincidae,Scincoidea,16,13,11.010000000000002,17.16,105.28999999999999,14.61,9.94,8.48,16
Chalcides sepsoides,unknown,Scincidae,Scincoidea,17,17,4.87,5.68,89.14,10.38,6.26,5.29,10.68
Lacerta trilineata,Male,Lacertidae,Lacertoidea,12,12,78.84,NA,140.95999999999998,43.75,24.56,21.86,28.92
Zootoca vivipara,Male,Lacertidae,Lacertoidea,20,20,2.5,3.58,52.78,11.48,7.15,5.8,11.76
Mochlus sundevallii,unknown,Scincidae,Scincoidea,10,10,18.78,16.38,102.52,14.8,9.23,7.390000000000001,14.93
Podarcis muralis,Female,Lacertidae,Lacertoidea,21,21,13.57,5.86,61.9,13.05,7.49,5.94,13.57
Pogona vitticeps,Male,Agamidae,Iguania,11,11,92.88539614569588,280.15092587577254,201.88248911110688,49.55395979874118,44.66395979874118,30.86279857599498,60.38944849213714
Scelotes bipes,unknown,Scincidae,Scincoidea,12,11,2.0300000000000002,2.29,85.23,6.75,3.8000000000000003,3.04,6.04
Scincus scincus,unknown,Scincidae,Scincoidea,5,5,21.98,22.71,95.24000000000001,19.48,11.4,10.8,19.91
Sphenodon punctatus,Male,Sphenodontidae,Sphenodontia,74,74,219.8,607.4,258.2,67.3,51.2,37.699999999999996,72.5
Typhlosaurus caecus,unknown,Scincidae,Scincoidea,32,32,4.609999999999999,4.9,205.72000000000003,7.5,3.93,2.25,5.4399999999999995
Typhlosaurus lomiae,unknown,Scincidae,Scincoidea,9,9,0.5700000000000001,1.11,116.82,5.81,2.69,2.1999999999999997,4.49
